iter	Passed	Remaining
0	245	245287
1	247	123683
2	249	83039
3	252	62764
4	254	50683
5	256	42527
6	262	37275
7	264	32831
8	266	29382
9	268	26604
10	270	24316
11	272	22431
12	274	20853
13	276	19498
14	278	18308
15	280	17273
16	283	16367
17	285	15585
18	287	14852
19	289	14174
20	290	13564
21	292	13006
22	294	12525
23	297	12091
24	299	11668
25	301	11282
26	303	10919
27	305	10588
28	306	10270
29	311	10087
30	313	9802
31	315	9531
32	317	9297
33	318	9060
34	320	8838
35	322	8637
36	324	8441
37	326	8256
38	327	8080
39	330	7943
40	332	7786
41	335	7649
42	340	7578
43	342	7434
44	343	7294
45	345	7160
46	346	7034
47	348	6912
48	350	6799
49	353	6715
50	355	6607
51	356	6504
52	359	6418
53	361	6324
54	362	6230
55	366	6181
56	368	6101
57	370	6021
58	372	5947
59	374	5873
60	376	5800
61	380	5752
62	382	5694
63	384	5630
64	387	5567
65	388	5504
66	390	5441
67	392	5384
68	395	5331
69	396	5274
70	398	5220
71	400	5166
72	402	5113
73	404	5062
74	410	5059
75	411	5008
76	413	4956
77	414	4904
78	416	4857
79	418	4815
80	420	4768
81	423	4742
82	424	4690
83	426	4650
84	429	4626
85	432	4592
86	434	4560
87	440	4568
88	442	4528
89	444	4493
90	446	4457
91	447	4421
92	449	4386
93	451	4355
94	453	4320
95	455	4288
96	457	4256
97	459	4226
98	461	4200
99	463	4171
100	465	4145
101	467	4116
102	469	4092
103	471	4064
104	473	4039
105	477	4024
106	479	3998
107	481	3975
108	483	3951
109	486	3937
110	489	3918
111	491	3895
112	493	3870
113	494	3846
114	496	3821
115	498	3798
116	500	3773
117	501	3750
118	503	3728
119	505	3705
120	506	3682
121	508	3658
122	510	3643
123	517	3655
124	519	3633
125	520	3612
126	522	3590
127	523	3568
128	526	3557
129	529	3544
130	531	3528
131	534	3512
132	536	3498
133	538	3482
134	544	3490
135	546	3473
136	548	3455
137	550	3439
138	552	3423
139	554	3405
140	557	3394
141	558	3373
142	560	3357
143	561	3340
144	563	3323
145	565	3306
146	567	3291
147	569	3277
148	571	3262
149	572	3245
150	574	3229
151	576	3213
152	577	3197
153	580	3189
154	582	3177
155	585	3166
156	587	3154
157	590	3145
158	594	3143
159	596	3132
160	598	3116
161	600	3105
162	602	3092
163	603	3077
164	606	3067
165	608	3057
166	610	3044
167	612	3031
168	614	3019
169	616	3007
170	617	2996
171	627	3022
172	629	3009
173	631	2996
174	632	2983
175	636	2978
176	637	2966
177	639	2953
178	641	2941
179	643	2930
180	645	2919
181	647	2908
182	658	2941
183	660	2929
184	661	2916
185	663	2904
186	667	2902
187	669	2892
188	671	2882
189	674	2873
190	676	2864
191	681	2868
192	683	2859
193	685	2848
194	687	2837
195	689	2827
196	690	2816
197	693	2809
198	695	2800
199	697	2791
200	699	2781
201	702	2774
202	704	2764
203	706	2754
204	714	2770
205	716	2760
206	717	2750
207	719	2741
208	723	2739
209	725	2729
210	727	2720
211	729	2713
212	732	2705
213	734	2697
214	736	2689
215	738	2680
216	740	2670
217	741	2661
218	745	2657
219	747	2651
220	749	2643
221	751	2634
222	754	2627
223	756	2619
224	764	2632
225	765	2623
226	767	2613
227	769	2606
228	772	2599
229	775	2596
230	778	2591
231	782	2589
232	784	2582
233	793	2596
234	795	2588
235	796	2579
236	798	2571
237	800	2562
238	803	2558
239	805	2551
240	807	2544
241	809	2536
242	811	2529
243	814	2522
244	821	2530
245	823	2523
246	824	2514
247	826	2507
248	828	2499
249	830	2491
250	835	2492
251	837	2485
252	839	2477
253	841	2471
254	844	2466
255	846	2459
256	848	2452
257	849	2444
258	851	2436
259	855	2433
260	857	2428
261	859	2421
262	863	2419
263	866	2414
264	870	2413
265	875	2414
266	877	2409
267	880	2403
268	882	2398
269	885	2393
270	887	2387
271	889	2381
272	892	2377
273	904	2395
274	906	2389
275	908	2382
276	911	2378
277	914	2374
278	916	2368
279	920	2366
280	932	2386
281	935	2381
282	937	2374
283	939	2367
284	943	2366
285	945	2360
286	947	2353
287	950	2349
288	952	2343
289	961	2353
290	963	2347
291	965	2340
292	967	2334
293	969	2329
294	973	2326
295	975	2321
296	979	2318
297	985	2321
298	988	2317
299	991	2312
300	994	2309
301	997	2304
302	1000	2301
303	1003	2297
304	1005	2292
305	1011	2293
306	1018	2298
307	1021	2294
308	1027	2298
309	1031	2295
310	1034	2292
311	1037	2286
312	1041	2286
313	1046	2285
314	1048	2279
315	1051	2275
316	1055	2274
317	1058	2269
318	1064	2272
319	1076	2286
320	1078	2281
321	1081	2276
322	1084	2272
323	1086	2267
324	1088	2261
325	1093	2259
326	1095	2254
327	1108	2270
328	1110	2265
329	1112	2258
330	1115	2255
331	1118	2249
332	1120	2243
333	1121	2237
334	1123	2230
335	1127	2227
336	1130	2224
337	1132	2218
338	1134	2212
339	1136	2206
340	1138	2200
341	1141	2196
342	1143	2190
343	1145	2185
344	1148	2179
345	1150	2174
346	1153	2170
347	1156	2167
348	1160	2165
349	1163	2160
350	1165	2154
351	1166	2147
352	1170	2145
353	1172	2139
354	1184	2152
355	1187	2147
356	1195	2152
357	1199	2151
358	1202	2146
359	1207	2146
360	1216	2153
361	1221	2152
362	1224	2148
363	1227	2144
364	1229	2139
365	1233	2136
366	1239	2138
367	1243	2135
368	1248	2134
369	1251	2131
370	1255	2128
371	1264	2135
372	1268	2131
373	1282	2147
374	1285	2142
375	1290	2141
376	1293	2138
377	1304	2146
378	1307	2141
379	1311	2139
380	1323	2149
381	1325	2144
382	1327	2138
383	1330	2133
384	1332	2129
385	1335	2123
386	1337	2118
387	1340	2114
388	1344	2111
389	1347	2107
390	1351	2105
391	1355	2102
392	1357	2096
393	1361	2093
394	1363	2088
395	1365	2083
396	1368	2078
397	1374	2079
398	1379	2078
399	1382	2073
400	1384	2068
401	1386	2062
402	1388	2057
403	1390	2051
404	1392	2045
405	1394	2040
406	1396	2035
407	1398	2029
408	1401	2024
409	1403	2020
410	1406	2015
411	1408	2010
412	1410	2005
413	1413	2000
414	1415	1995
415	1417	1989
416	1419	1984
417	1421	1979
418	1423	1974
419	1429	1974
420	1431	1968
421	1433	1963
422	1434	1957
423	1436	1951
424	1438	1946
425	1441	1941
426	1442	1936
427	1444	1930
428	1446	1925
429	1449	1920
430	1451	1916
431	1459	1918
432	1461	1913
433	1463	1908
434	1466	1904
435	1469	1901
436	1472	1896
437	1475	1893
438	1479	1891
439	1482	1886
440	1487	1885
441	1489	1880
442	1491	1875
443	1493	1869
444	1495	1865
445	1497	1860
446	1499	1855
447	1502	1850
448	1504	1845
449	1506	1841
450	1508	1836
451	1516	1839
452	1519	1834
453	1520	1829
454	1523	1824
455	1525	1819
456	1528	1815
457	1530	1811
458	1533	1806
459	1535	1802
460	1537	1798
461	1548	1803
462	1550	1798
463	1552	1793
464	1555	1790
465	1558	1785
466	1560	1781
467	1563	1777
468	1566	1773
469	1572	1773
470	1574	1768
471	1576	1763
472	1579	1759
473	1581	1754
474	1584	1751
475	1587	1747
476	1590	1743
477	1592	1739
478	1595	1735
479	1603	1736
480	1605	1731
481	1607	1727
482	1608	1721
483	1610	1716
484	1612	1712
485	1614	1707
486	1616	1702
487	1619	1698
488	1621	1693
489	1623	1689
490	1629	1689
491	1631	1684
492	1633	1679
493	1634	1674
494	1636	1669
495	1638	1664
496	1639	1659
497	1641	1655
498	1644	1650
499	1645	1645
500	1647	1641
501	1649	1636
502	1651	1631
503	1653	1626
504	1658	1625
505	1659	1620
506	1661	1615
507	1662	1610
508	1664	1605
509	1666	1600
510	1667	1595
511	1670	1591
512	1671	1587
513	1673	1582
514	1675	1577
515	1676	1572
516	1679	1568
517	1682	1565
518	1687	1564
519	1689	1559
520	1691	1555
521	1693	1550
522	1695	1546
523	1698	1542
524	1700	1538
525	1702	1534
526	1705	1530
527	1707	1526
528	1709	1522
529	1714	1520
530	1716	1516
531	1718	1511
532	1720	1507
533	1722	1503
534	1723	1498
535	1727	1495
536	1729	1490
537	1731	1487
538	1735	1484
539	1736	1479
540	1744	1480
541	1746	1476
542	1748	1471
543	1751	1467
544	1753	1464
545	1759	1463
546	1761	1459
547	1764	1455
548	1766	1451
549	1775	1452
550	1777	1448
551	1779	1444
552	1781	1440
553	1790	1441
554	1793	1438
555	1803	1439
556	1806	1436
557	1810	1433
558	1812	1429
559	1814	1425
560	1819	1423
561	1821	1419
562	1897	1472
563	1899	1468
564	1901	1463
565	1903	1459
566	1906	1455
567	1908	1451
568	1910	1447
569	1915	1444
570	1917	1440
571	1924	1440
572	1926	1435
573	1928	1431
574	1931	1427
575	1933	1423
576	1937	1420
577	1939	1416
578	1942	1412
579	1945	1408
580	1947	1404
581	1949	1399
582	1952	1396
583	1954	1392
584	1960	1390
585	1964	1387
586	1967	1384
587	1970	1380
588	1973	1376
589	1975	1372
590	1977	1368
591	1996	1375
